Season;Player;injury_matches_missed;Nation;Pos;Squad;Playing Time_MP;Born;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG
2020-21;Brian Brobbey;;nl NED;FW;Ajax;1;2002;1;45;0.5;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0;0;8;0.00;0.00;0.00;0.00;0.00;0.14;0.11;0.25;0.14;0.25
2020-21;Mohammed Kudus;;gh GHA;FW;Ajax;1;2000;1;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-21;Jurriën Timber;;nl NED;DF;Ajax;1;2001;0;;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;;;;;;;;;;
2021-22;Brian Brobbey;;nl NED;FW;Ajax;1;2002;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Sean Steur;0;nl NED;MF;Ajax;1;2008;1;75;0.8;0;1;1;0;0;0;0;0;0.1;0.1;0.1;0.2;1;4;2;0.00;1.20;1.20;0.00;1.20;0.13;0.08;0.21;0.13;0.21
2025-26;Don-Angelo Konadu;0;nl NED;FW;Ajax;1;2006;0;26;0.3;0;1;1;0;0;0;0;0;0.4;0.4;0.1;0.5;1;1;1;0.00;3.46;3.46;0.00;3.46;1.33;0.50;1.83;1.33;1.83
2025-26;Aaron Bouwman;0;nl NED;DF;Ajax;1;2007;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Steven Berghuis;5;nl NED;FW;Ajax;1;1991;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
2025-26;Gerald Alders;1;nl NED;DF;Ajax;1;2005;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-22;Mohamed Daramy;;dk DEN;FW;Ajax;2;2002;1;53;0.6;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;6;2;12;0.00;0.00;0.00;0.00;0.00;0.45;0.00;0.45;0.45;0.45
