Season;Date;Home Team;Away Team;Home_Score;Away_Score;Match_Outcome;Location;
1996-1997;1996-09-11;Juventus ; Manchester Utd;1.0;0.0;1;Delle Alpi;
1996-1997;1996-09-11;Atlético Madrid ; Steaua;4.0;0.0;1;Estadio Vicente Calderón;
1996-1997;1996-09-11;Dortmund ; Widzew Łódź;2.0;1.0;1;BVB Stadion Dortmund;
1996-1997;1996-09-11;Rapid Wien; Fenerbahçe;1.0;1.0;0;Ernst-Happel-Stadion;
1996-1997;1996-09-11;Grasshopper ; Rangers;3.0;0.0;1;Hardturm;
1996-1997;1996-09-11;Milan ; Porto;2.0;3.0;-1;Stadio Giuseppe Meazza;
1996-1997;1996-09-11;Göteborg ; Rosenborg;2.0;3.0;-1;Ullevi;
1996-1997;1996-09-11;Auxerre ; Ajax;0.0;1.0;-1;Stade Abbé-Deschamps;
1996-1997;1996-09-25;Ajax ; Grasshopper;0.0;1.0;-1;Amsterdam ArenA;
1996-1997;1996-09-25;Rosenborg ; Milan;1.0;4.0;-1;Lerkendal Stadion;
1996-1997;1996-09-25;Rangers ; Auxerre;1.0;2.0;-1;Ibrox Stadium;
1996-1997;1996-09-25;Manchester Utd ;Rapid Wien;2.0;0.0;1;Old Trafford;
1996-1997;1996-09-25;Steaua ; Dortmund;0.0;3.0;-1;Stadionul Steaua;
1996-1997;1996-09-25;Widzew Łódź ; Atlético Madrid;1.0;4.0;-1;Widzewa;
1996-1997;1996-09-25;Porto ; Göteborg;2.0;1.0;1;Estádio das Antas;
1996-1997;1996-09-25;Fenerbahçe ; Juventus;0.0;1.0;-1;Şükrü Saracoğlu;
1996-1997;1996-10-16;Ajax ; Rangers;4.0;1.0;1;Amsterdam ArenA;
1996-1997;1996-10-16;Rosenborg ; Porto;0.0;1.0;-1;Lerkendal Stadion;
1996-1997;1996-10-16;Rapid Wien; Juventus;1.0;1.0;0;Ernst-Happel-Stadion;
