Season;Squad;MP;W;D;L;GF;GA;GD;Pts;Qualification_Rank
1996-1997; Dortmund;11.0;9.0;1.0;1.0;23.0;10.0;13.0;28.0;W
1996-1997; Juventus;11.0;8.0;2.0;1.0;21.0;7.0;14.0;26.0;F
1996-1997; Ajax;10.0;5.0;1.0;4.0;14.0;13.0;1.0;16.0;SF
1996-1997; Manchester Utd;10.0;4.0;1.0;5.0;10.0;5.0;5.0;13.0;SF
1996-1997; Porto;8.0;5.0;2.0;1.0;12.0;8.0;4.0;17.0;QF
1996-1997; Atlético Madrid;8.0;4.0;2.0;2.0;15.0;8.0;7.0;14.0;QF
1996-1997; Rosenborg;10.0;4.0;1.0;5.0;11.0;15.0;-4.0;13.0;QF
1996-1997; Auxerre;8.0;4.0;0.0;4.0;9.0;11.0;-2.0;12.0;QF
1996-1997; Grasshopper;8.0;5.0;0.0;3.0;14.0;5.0;9.0;15.0;GR
1996-1997; Fenerbahçe;8.0;3.0;2.0;3.0;5.0;7.0;-2.0;11.0;GR
1996-1997; Rangers;8.0;3.0;0.0;5.0;15.0;16.0;-1.0;9.0;GR
1996-1997;Rapid Wien;8.0;2.0;2.0;4.0;8.0;14.0;-6.0;8.0;GR
1996-1997; Steaua;8.0;2.0;2.0;4.0;10.0;17.0;-7.0;8.0;GR
1996-1997; Milan;6.0;2.0;1.0;3.0;13.0;11.0;2.0;7.0;GR
1996-1997; Göteborg;8.0;2.0;1.0;5.0;11.0;14.0;-3.0;7.0;GR
1996-1997; Widzew Łódź;8.0;2.0;1.0;5.0;10.0;14.0;-4.0;7.0;GR
1997-1998; Real Madrid;11.0;7.0;3.0;1.0;22.0;5.0;17.0;24.0;W
1997-1998; Juventus;11.0;6.0;1.0;4.0;23.0;15.0;8.0;19.0;F
1997-1998; Dortmund;10.0;6.0;2.0;2.0;15.0;5.0;10.0;20.0;SF
1997-1998; Monaco;10.0;5.0;3.0;2.0;20.0;15.0;5.0;18.0;SF
1997-1998; Dynamo Kyiv;12.0;6.0;3.0;3.0;25.0;14.0;11.0;21.0;QF
1997-1998; Manchester Utd;8.0;5.0;2.0;1.0;15.0;6.0;9.0;17.0;QF
1997-1998; Leverkusen;10.0;5.0;2.0;3.0;18.0;13.0;5.0;17.0;QF
1997-1998; Bayern Munich;8.0;4.0;1.0;3.0;13.0;7.0;6.0;13.0;QF
1997-1998; Rosenborg;8.0;5.0;2.0;1.0;17.0;9.0;8.0;17.0;GR
1997-1998; Parma;8.0;4.0;3.0;1.0;13.0;6.0;7.0;15.0;GR
1997-1998; Feyenoord;8.0;5.0;0.0;3.0;16.0;13.0;3.0;15.0;GR
1997-1998; Paris S-G;8.0;5.0;0.0;3.0;16.0;13.0;3.0;15.0;GR
1997-1998; Sporting CP;8.0;3.0;2.0;3.0;12.0;11.0;1.0;11.0;GR
1997-1998; Newcastle Utd;8.0;3.0;2.0;3.0;11.0;11.0;0.0;11.0;GR
1997-1998; Barcelona;8.0;3.0;2.0;3.0;11.0;16.0;-5.0;11.0;GR
1997-1998; Galatasaray;8.0;3.0;1.0;4.0;12.0;13.0;-1.0;10.0;GR
1997-1998; Beşiktaş;8.0;3.0;1.0;4.0;9.0;10.0;-1.0;10.0;GR
1997-1998; Göteborg;8.0;3.0;1.0;4.0;8.0;10.0;-2.0;10.0;GR
1997-1998; Košice;10.0;3.0;1.0;6.0;8.0;14.0;-6.0;10.0;GR
1997-1998; PSV;6.0;2.0;3.0;1.0;9.0;8.0;1.0;9.0;GR
1997-1998; Sparta Prague;8.0;2.0;3.0;3.0;9.0;11.0;-2.0;9.0;GR
1997-1998;Olympiacos;8.0;2.0;3.0;3.0;13.0;16.0;-3.0;9.0;GR
1997-1998;Lierse;8.0;1.0;1.0;6.0;6.0;14.0;-8.0;4.0;GR
1997-1998; Porto;6.0;1.0;1.0;4.0;3.0;11.0;-8.0;4.0;GR
1998-1999; Manchester Utd;13.0;6.0;7.0;0.0;31.0;16.0;15.0;25.0;W
1998-1999; Bayern Munich;13.0;7.0;4.0;2.0;25.0;12.0;13.0;25.0;F
1998-1999; Dynamo Kyiv;14.0;7.0;4.0;3.0;28.0;14.0;14.0;25.0;SF
1998-1999; Juventus;10.0;2.0;7.0;1.0;13.0;11.0;2.0;13.0;SF
1998-1999; Inter;10.0;6.0;2.0;2.0;17.0;9.0;8.0;20.0;QF
1998-1999;Olympiacos;10.0;5.0;3.0;2.0;16.0;12.0;4.0;18.0;QF
1998-1999; Real Madrid;8.0;4.0;1.0;3.0;18.0;11.0;7.0;13.0;QF
1998-1999; Kaiserslautern;8.0;4.0;1.0;3.0;12.0;12.0;0.0;13.0;QF
1998-1999;HJK Helsinki;10.0;4.0;3.0;3.0;15.0;13.0;2.0;15.0;GR
1998-1999; Spartak Moscow;8.0;4.0;2.0;2.0;18.0;8.0;10.0;14.0;GR
1998-1999; Galatasaray;8.0;4.0;2.0;2.0;13.0;11.0;2.0;14.0;GR
1998-1999; Benfica;8.0;3.0;2.0;3.0;16.0;13.0;3.0;11.0;GR
1998-1999; Croatia Zagreb;8.0;3.0;2.0;3.0;8.0;8.0;0.0;11.0;GR
1998-1999; Rosenborg;8.0;3.0;2.0;3.0;11.0;12.0;-1.0;11.0;GR
1998-1999; PSV;8.0;3.0;1.0;4.0;15.0;14.0;1.0;10.0;GR
1998-1999;Panathinaikos;8.0;3.0;1.0;4.0;14.0;14.0;0.0;10.0;GR
1998-1999; Athletic Club;8.0;2.0;3.0;3.0;7.0;8.0;-1.0;9.0;GR
1998-1999; Barcelona;6.0;2.0;2.0;2.0;11.0;9.0;2.0;8.0;GR
1998-1999; Arsenal;6.0;2.0;2.0;2.0;8.0;8.0;0.0;8.0;GR
