Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Kylian Mbappé,Real Madrid,FW,9,15.113173535379104,0.6408933333333326,Real Madrid.png
Victor Osimhen,Galatasaray,FW,6,10.164178641713841,0.09810666666666674,Galatasaray.png
Erling Haaland,Manchester City,FW,6,10.136430604853873,0.08510666666666672,Manchester City.png
Harry Kane,Bayern Munich,"FW,MF",5,9.047608880689001,0.04657333333333332,Bayern Munich.png
Gabriel Martinelli,Arsenal,FW,5,8.824067899889767,0.04095666666666665,Arsenal.png
Anthony Gordon,Newcastle Utd,FW,5,8.444012459099369,0.03229833333333333,Newcastle Utd.png
Lautaro Martínez,Inter,FW,4,7.348784381687755,0.012936666666666664,Inter.png
Julián Álvarez,Atletico Madrid,FW,4,7.15863071299426,0.011833333333333333,Atletico Madrid.png
Dušan Vlahović,Juventus,FW,3,6.708676219828934,0.006566666666666669,Juventus.png
Noni Madueke,Arsenal,FW,3,6.236227066763776,0.004258333333333334,Arsenal.png
Luis Díaz,Bayern Munich,FW,3,6.094138955373751,0.0032533333333333333,Bayern Munich.png
Serhou Guirassy,Dortmund,FW,3,5.88114892825046,0.0023,Dortmund.png
Lennart Karl,Bayern Munich,MF,3,5.9747177643110945,0.0020733333333333333,Bayern Munich.png
Marcus Rashford,Barcelona,FW,4,5.439807769818306,0.0014366666666666668,Barcelona.png
Viktor Gyökeres,Arsenal,FW,2,5.243605055825947,0.0013166666666666665,Arsenal.png
Igor Paixão,Marseille,"FW,MF",4,5.242429959226087,0.0010583333333333332,Marseille.png
Vitinha,Paris S-G,MF,4,5.064477062640181,0.0009416666666666666,Paris S-G.png
Harvey Barnes,Newcastle Utd,"FW,MF",4,5.265467781857379,0.0007166666666666666,Newcastle Utd.png
Folarin Balogun,Monaco,FW,3,4.66088208413713,0.000575,Monaco.png
Fermin López,Barcelona,"MF,FW",3,4.891778739958651,0.0005366666666666667,Barcelona.png
Estêvão Willian,Chelsea,"FW,MF",3,4.857340146836937,0.0005333333333333334,Chelsea.png
Scott McTominay,Napoli,MF,3,4.42766876168697,0.0005333333333333333,Napoli.png
Francisco Trincão,Sporting CP,MF,3,4.759787521070135,0.0004866666666666666,Sporting CP.png
Pierre-Emerick Aubameyang,Marseille,FW,3,4.594110525511081,0.000475,Marseille.png
Julian Brandt,Dortmund,MF,3,4.605174140944269,0.0004333333333333333,Dortmund.png
Denzel Dumfries,Inter,DF,2,4.158577656365308,0.00042,Inter.png
Dominik Szoboszlai,Liverpool,"MF,DF",3,4.928891091394751,0.00035833333333333333,Liverpool.png
Mason Greenwood,Marseille,"FW,MF",3,4.825780461917074,0.000325,Marseille.png
Ricardo Pepi,PSV Eindhoven,FW,3,3.4597261882906967,0.000225,PSV Eindhoven.png
Rasmus Højlund,Napoli,FW,2,3.55020421117783,0.000225,Napoli.png
Marcos Llorente,Atletico Madrid,"DF,MF",3,4.466816616089639,0.0002,Atletico Madrid.png
Álex Grimaldo,Leverkusen,DF,3,4.26902155190729,0.0002,Leverkusen.png
Karim Adeyemi,Dortmund,MF,2,3.963503409226691,0.00018333333333333334,Dortmund.png
Viktor Dadason,FC Copenhagen,FW,2,3.177786402678353,0.000175,FC Copenhagen.png
Bukayo Saka,Arsenal,FW,2,4.194757795542082,0.00011999999999999999,Arsenal.png
Nicolo Tresoldi,Club Brugge,FW,2,2.58495057527348,0.0001,Club Brugge.png
Marcus Thuram,Inter,FW,2,3.5105582447562336,0.0001,Inter.png
Yunus Akgün,Galatasaray,"FW,MF",2,3.2859612583186006,0.0001,Galatasaray.png
Khvicha Kvaratskhelia,Paris S-G,FW,2,3.3754104927071404,0.0001,Paris S-G.png
Mikel Merino,Arsenal,"MF,FW",2,3.4716222819545113,0.0001,Arsenal.png
Cole Palmer,Chelsea,FW,1,3.587239510453656,0.0001,Chelsea.png
Charles De Ketelaere,Atalanta,"FW,MF",2,3.5874869771714453,0.0001,Atalanta.png
Gorka Guruzeta,Athletic Club,FW,3,3.868658302519889,8.333333333333333e-05,Athletic Club.png
Felix Nmecha,Dortmund,MF,3,3.87803265910333,7.5e-05,Dortmund.png
Loïs Openda,Juventus,"FW,MF",1,2.532341477920899,5e-05,Juventus.png
Virgil van Dijk,Liverpool,DF,2,3.575141759931136,5e-05,Liverpool.png
Randal Kolo Muani,Tottenham,FW,2,3.2595280930685586,5e-05,Tottenham.png
Marc Guiu,Chelsea,FW,1,2.9927706368349827,5e-05,Chelsea.png
Ferrán Torres,Barcelona,FW,2,3.316696089492967,5e-05,Barcelona.png
Désiré Doué,Paris S-G,FW,2,2.9956662331555237,5e-05,Paris S-G.png
Phil Foden,Manchester City,MF,2,3.015206393002961,3.333333333333333e-05,Manchester City.png
Nuno Mendes,Paris S-G,DF,2,3.457962987976688,3.333333333333333e-05,Paris S-G.png
Jonathan David,Juventus,"FW,MF",2,4.687471200068633,3.333333333333333e-05,Juventus.png
Francesco Esposito,Inter,FW,1,2.130147416597925,2.5e-05,Inter.png
Patrik Schick,Leverkusen,FW,2,3.6689892612841097,2.5e-05,Leverkusen.png
Ousmane Dembélé,Paris S-G,FW,1,3.4972604861297896,2e-05,Paris S-G.png
Ruben van Bommel,PSV Eindhoven,"MF,FW",1,3.4810686525131875,2e-05,PSV Eindhoven.png
Gelson Martins,Olympiacos,FW,2,2.792310912707159,2e-05,Olympiacos.png
Panagiotis Retsos,Olympiacos,DF,0,0.1597518160812834,0.0,Olympiacos.png
Elif Elmas,Napoli,"MF,FW",0,0.1481312423050694,0.0,Napoli.png
Santiago Hezze,Olympiacos,MF,0,0.12144090614701643,0.0,Olympiacos.png
Costinha,Olympiacos,DF,0,0.1653313244500709,0.0,Olympiacos.png
Mehdi Taremi,Olympiacos,"MF,FW",1,2.5243400935593394,0.0,Olympiacos.png
Giovanni Di Lorenzo,Napoli,DF,0,0.32610460391286394,0.0,Napoli.png
Lorenzo Lucca,Napoli,FW,0,0.04657606734190763,0.0,Napoli.png
Juan Jesus,Napoli,DF,0,0.3535612731125006,0.0,Napoli.png
Noa Lang,Napoli,"MF,FW",0,0.48023020076637113,0.0,Napoli.png
Thilo Kehrer,Monaco,DF,0,0.18826527588870035,0.0,Monaco.png
Mika Biereth,Monaco,FW,0,0.2068996559308986,0.0,Monaco.png
Lorenzo Pirola,Olympiacos,DF,0,0.09114825948090327,0.0,Olympiacos.png
Maghnes Akliouche,Monaco,"MF,FW",0,0.42892428535137556,0.0,Monaco.png
Antonio Vergara,Napoli,MF,0,0.015137513082310119,0.0,Napoli.png
Amir Rrahmani,Napoli,DF,0,0.3106834435655985,0.0,Napoli.png
Miguel Gutiérrez,Napoli,DF,0,0.606255908044232,0.0,Napoli.png
Daniel Podence,Olympiacos,"FW,MF",0,0.14384998502250204,0.0,Olympiacos.png
Billy Gilmour,Napoli,MF,0,0.24990590326627343,0.0,Napoli.png
Kevin De Bruyne,Napoli,"MF,FW",0,0.3190648485422303,0.0,Napoli.png
Andre-Frank Zambo Anguissa,Napoli,MF,0,0.48013522112380014,0.0,Napoli.png
Leonardo Spinazzola,Napoli,DF,0,0.38000899943726213,0.0,Napoli.png
Mathías Olivera,Napoli,DF,0,0.34935598951007446,0.0,Napoli.png
Kostas Tzolakis,Olympiacos,GK,0,0.2358814808455149,0.0,Olympiacos.png
Stanislav Lobotka,Napoli,MF,0,0.43874841531840836,0.0,Napoli.png
Alessandro Buongiorno,Napoli,DF,0,0.18869427570962208,0.0,Napoli.png
Diogo Nascimento,Olympiacos,"MF,FW",0,0.14017733124491263,0.0,Olympiacos.png
Sam Beukema,Napoli,DF,0,0.22107771412440447,0.0,Napoli.png
Jacob Ramsey,Newcastle Utd,MF,0,0.0777015451320929,0.0,Newcastle Utd.png
Malick Thiaw,Newcastle Utd,DF,0,0.22338234553921235,0.0,Newcastle Utd.png
Nick Woltemade,Newcastle Utd,FW,1,1.7695549736089626,0.0,Newcastle Utd.png
Anthony Elanga,Newcastle Utd,FW,0,0.2084134080861218,0.0,Newcastle Utd.png
