Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Kylian Mbappé,Real Madrid,FW,9,15.108439466300638,0.6396549999999994,Real Madrid.png
Victor Osimhen,Galatasaray,FW,6,10.164644492130332,0.0986233333333334,Galatasaray.png
Erling Haaland,Manchester City,FW,6,10.13712763077138,0.08676500000000006,Manchester City.png
Harry Kane,Bayern Munich,"FW,MF",5,9.048711064750698,0.047218333333333314,Bayern Munich.png
Gabriel Martinelli,Arsenal,FW,5,8.82361308686647,0.03964833333333332,Arsenal.png
Anthony Gordon,Newcastle Utd,FW,5,8.440416120360466,0.031868333333333325,Newcastle Utd.png
Lautaro Martínez,Inter,FW,4,7.348012049433961,0.013061666666666664,Inter.png
Julián Álvarez,Atlético Madrid,FW,4,7.158857704393089,0.011525,Atlético Madrid.png
Dušan Vlahović,Juventus,FW,3,6.711134801718672,0.006678333333333336,Juventus.png
Noni Madueke,Arsenal,FW,3,6.235922630318413,0.004258333333333334,Arsenal.png
