Team,Wins,Win_Probability,expected_league_MP,expected_ko_MP,expected_total_MP,LogoFile
Arsenal,1925,0.1925,8.0,4.5672,12.5672,Arsenal.png
Bayern Munich,1243,0.1243,8.0,4.243,12.243,Bayern Munich.png
Manchester City,839,0.0839,8.0,3.9344,11.9344,Manchester City.png
Paris S-G,768,0.0768,8.0,3.9691,11.9691,Paris S-G.png
Real Madrid,717,0.0717,8.0,3.9731,11.9731,Real Madrid.png
Atalanta,693,0.0693,8.0,3.9628,11.9628,Atalanta.png
Liverpool,650,0.065,8.0,3.9189,11.9189,Liverpool.png
Atlético Madrid,564,0.0564,8.0,3.9576,11.9576,Atlético Madrid.png
Barcelona,416,0.0416,8.0,4.0331,12.0331,Barcelona.png
Chelsea,303,0.0303,8.0,4.0092,12.0092,Chelsea.png
Dortmund,302,0.0302,8.0,3.9198,11.9198,Dortmund.png
Inter,277,0.0277,8.0,3.9375,11.9375,Inter.png
Tottenham,227,0.0227,8.0,3.9139,11.9139,Tottenham.png
Juventus,191,0.0191,8.0,3.844,11.844,Juventus.png
Newcastle Utd,158,0.0158,8.0,3.6501,11.6501,Newcastle Utd.png
Leverkusen,156,0.0156,8.0,3.8026,11.8026,Leverkusen.png
Sporting CP,150,0.015,8.0,3.6931,11.6931,Sporting CP.png
Marseille,105,0.0105,8.0,3.4126,11.4126,Marseille.png
Napoli,63,0.0063,8.0,2.6616,10.6616,Napoli.png
Galatasaray,57,0.0057,8.0,3.1511,11.1511,Galatasaray.png
Monaco,46,0.0046,8.0,3.177,11.177,Monaco.png
PSV Eindhoven,33,0.0033,8.0,2.4496,10.4496,PSV Eindhoven.png
Olympiacos,23,0.0023,8.0,1.0286,9.0286,Olympiacos.png
Benfica,17,0.0017,8.0,0.8239,8.8239,Benfica.png
FC Copenhagen,16,0.0016,8.0,1.1419,9.1419,FC Copenhagen.png
Qarabağ,14,0.0014,8.0,1.0079,9.0079,Qarabağ.png
Pafos FC,13,0.0013,8.0,0.9401,8.9401,Pafos FC.png
Club Brugge,10,0.001,8.0,0.8657,8.8657,Club Brugge.png
Eint Frankfurt,7,0.0007,8.0,0.4939,8.4939,Eint Frankfurt.png
Athletic Club,6,0.0006,8.0,0.4794,8.4794,Athletic Club.png
Union SG,6,0.0006,8.0,0.5728,8.5728,Union SG.png
Ajax,4,0.0004,8.0,0.4248,8.4248,Ajax.png
Slavia Prague,1,0.0001,8.0,0.0305,8.0305,Slavia Prague.png
