Team,Wins,Win_Probability,expected_league_MP,expected_ko_MP,expected_total_MP,LogoFile
Arsenal,1920,0.192,8.0,4.5663,12.5663,Arsenal.png
Bayern Munich,1252,0.1252,8.0,4.2447,12.2447,Bayern Munich.png
Manchester City,839,0.0839,8.0,3.9354,11.9354,Manchester City.png
Paris S-G,767,0.0767,8.0,3.9673,11.9673,Paris S-G.png
Real Madrid,711,0.0711,8.0,3.9677,11.9677,Real Madrid.png
Atalanta,693,0.0693,8.0,3.9617,11.9617,Atalanta.png
Liverpool,653,0.0653,8.0,3.9203,11.9203,Liverpool.png
Atlético Madrid,562,0.0562,8.0,3.9581,11.9581,Atlético Madrid.png
Barcelona,410,0.041,8.0,4.0328,12.0328,Barcelona.png
Chelsea,306,0.0306,8.0,4.0037,12.0037,Chelsea.png
Dortmund,302,0.0302,8.0,3.9203,11.9203,Dortmund.png
Inter,279,0.0279,8.0,3.9359,11.9359,Inter.png
Tottenham,231,0.0231,8.0,3.9124,11.9124,Tottenham.png
Juventus,191,0.0191,8.0,3.8492,11.8492,Juventus.png
Newcastle Utd,157,0.0157,8.0,3.6442,11.6442,Newcastle Utd.png
Leverkusen,155,0.0155,8.0,3.802,11.802,Leverkusen.png
Sporting CP,149,0.0149,8.0,3.6913,11.6913,Sporting CP.png
Marseille,105,0.0105,8.0,3.411,11.411,Marseille.png
Napoli,64,0.0064,8.0,2.6636,10.6636,Napoli.png
Galatasaray,56,0.0056,8.0,3.1519,11.1519,Galatasaray.png
